City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,kassala,15.451,36.4,79.9,64,9,7.56,SD,1699924223
117,crane,31.3974,-102.3501,52.16,83,100,7.81,US,1699924025
118,new norfolk,-42.7826,147.0587,62.71,37,11,7.16,AU,1699924223
119,baharly,38.4362,57.4316,59.2,36,95,6.44,TM,1699924223
120,port mathurin,-19.6833,63.4167,77.41,77,1,4.74,MU,1699924224
121,ballina,-28.8667,153.5667,79.79,70,72,9.62,AU,1699924224
122,upper dir,35.2058,71.8756,49.17,39,0,8.19,PK,1699924224
123,san luis de la loma,17.2706,-100.8939,80.8,81,23,5.93,MX,1699924224
124,rikaze,29.25,88.8833,30.15,67,58,2.73,CN,1699924225
125,qarqaraly,49.4058,75.4742,29.82,89,69,4.68,KZ,1699924225
126,minas de marcona,-15.2119,-75.1103,58.06,87,67,13.02,PE,1699924225
127,nagqu,31.5,92.0,18.21,39,100,4.38,CN,1699924225
128,west island,-12.1568,96.8225,80.58,78,75,9.22,CC,1699924226
129,tsiombe,-25.3,45.4833,71.11,83,98,5.37,MG,1699924226
130,tabatinga,-4.2525,-69.9381,77.09,100,20,2.3,BR,1699924169
131,olonkinbyen,70.9221,-8.7187,28.99,70,99,5.93,SJ,1699924029
132,tomarza,38.4472,35.7992,40.64,72,100,5.26,TR,1699924227
133,turpan,42.9333,89.1667,45.25,31,100,3.0,CN,1699923801
134,hermanus,-34.4187,19.2345,60.15,77,11,21.92,ZA,1699924227
135,uturoa,-16.7333,-151.4333,80.51,83,61,15.46,PF,1699924227
136,labuan,5.2767,115.2417,81.43,81,78,7.52,MY,1699924228
137,ilulissat,69.2167,-51.1,23.02,68,75,6.91,GL,1699924228
138,kristiansund,63.1115,7.732,34.45,64,20,4.61,NO,1699924228
139,okha,53.5739,142.9478,25.45,73,100,12.24,RU,1699924228
140,al muwayh,22.4333,41.7583,74.26,36,92,9.93,SA,1699924229
141,bana,5.1481,10.2762,60.06,90,78,3.29,CM,1699924229
142,cooper's town,26.8667,-77.5167,77.36,81,100,15.77,BS,1699924229
143,port-vila,-17.7338,168.3219,80.2,65,75,13.8,VU,1699924230
144,taiynsha,53.8478,69.7639,37.53,84,100,12.93,KZ,1699924230
145,chegdomyn,51.1167,133.0167,11.73,80,37,1.1,RU,1699924230
146,ranau,5.9538,116.6641,79.57,75,46,2.24,MY,1699924230
147,yarmouth,41.7057,-70.2286,40.96,84,100,3.44,US,1699924225
148,bredasdorp,-34.5322,20.0403,58.66,81,9,15.95,ZA,1699924231
149,beberibe,-4.1797,-38.1306,78.76,82,38,7.87,BR,1699924063
150,utrik,11.2278,169.8474,82.69,81,100,17.87,MH,1699924231
151,bodaybo,57.8506,114.1933,16.81,95,100,2.35,RU,1699924179
152,buka,40.8108,69.1986,45.3,40,0,2.95,UZ,1699924232
153,college,64.8569,-147.8028,27.07,91,100,0.0,US,1699924030
154,huntington beach,33.6603,-117.9992,73.13,73,75,6.91,US,1699924170
155,lata,40.1629,-8.3327,58.91,94,100,1.36,PT,1699924232
156,delta,5.5,6.0,76.19,93,100,1.39,NG,1699924233
